Type,Component name,Product description,Shop / Manufacturer,Local,URL,Unit price,Shipping,Product Amount,Product Total (excluding shipping),Product Total (with shipping)
Commercial parts,20*20mm Aluminium Profile,Used to make the wheelbase frame,Seli,Yes,https://seli.tn/product/20x20-profile-aluminium-industriel-dk/,"15,6",0,1,"15,6","15,6"
,40*20mm Aluminium Profile,Used to make the wheelbase frame,Seli,Yes,https://seli.tn/product/20x40-profile-aluminium-industriel-r6/,"22,5",0,1,"22,5","22,5"
,SK16 Brackets,Used to mount the motor in place,Seli,Yes,https://seli.tn/product/sk16-support-d-arbre-en-aluminium-diam-16/,"3,11",0,2,"6,22","6,22"
,UFL004 Bearings,Used to guide the shaft in rotation ,Aliexpress,No,https://ar.aliexpress.com/item/1005007098430647.html,"17,9",0,1,"17,9","17,9"
,ODESC 52V Driver,Used to drive the motor and process FFB Logic,Aliexpress,No,https://ar.aliexpress.com/item/1005005763345874.html,78,"13,2",1,78,"91,2"
,STM32H743VIT6 Board,Used to control the ODESC board along with the game inputs,Aliexpress,No,https://ar.aliexpress.com/item/1005009563874211.html,"11,55","4,05",1,"11,55","15,6"
,2000PPR Rotary Encoder,Used to determine the steering wheel's position,Aliexpress,No,https://ar.aliexpress.com/item/1005004387342695.html,"15,35","7,82",1,"15,35","23,17"
,30-tooth 30mm pulley,Used to tie the encoder's shaft to the steering wheel shaft,Aliexpress,No,https://ar.aliexpress.com/item/1005008678109995.html,"4,67",0,1,"4,67","4,67"
,Quick release mechanism,Used to mount the steering wheel to the wheelbase,Aliexpress,No,https://ar.aliexpress.com/item/1005009121231549.html,"62,86",0,1,"62,86","62,86"
,GX12 Connector kit (M/F),Used to connect input peripherals to the wheelbase,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/connecteur-male-et-femelle-gx12-4-broches?_pos=1&_sid=6810da1da&_ss=r,"1,49",0,5,"7,45","7,45"
,120mm Fan,Used to cool the wheelbase's electronics,2BTrading,Yes,https://2btrading.tn/ventilateur-radiateur/2391-ventilateur-dc12v-034a-12x12x38cm.html,"10,73",,1,"10,73","10,73"
,XT60M connector,Used to power the wheelbase,Cothings,Yes,https://cothings.net/products/connecteur-amass-xt60e-m-male,"1,73",0,1,"1,73","1,73"
,Endstop switch,Game inputs,Cothings,Yes,https://cothings.net/products/copie-de-capteur-de-temperature-thermistance-ntc-100k-ntc-mf52at-1,"0,45",0,2,"0,9","0,9"
,Pushbutton,Game inputs,Cothings,Yes,https://cothings.net/products/mini-bouton-poussoir-rond-a-reinitialisation-automatique-bleu-etanche-pbs-33b-12mm-2-broches,"0,86",0,8,"6,88","6,88"
,Hall effect sensor,Used to calibrate the wheel's initial position,Cothings,Yes,https://cothings.net/products/ky-024-capteur-a-effet-hall-analogique-pour-vitesse-et-comptage,"1,55",0,1,"1,55","1,55"
,36V 500W Power supply,Used to power the wheelbase,Aliexpress,No,https://ar.aliexpress.com/item/1005003923590693.html,"50,53","10,49",1,"50,53","61,02"
,GT2-6 400mm belt,Used to connect the shaft pulley to the encoder pulley,2BTrading,Yes,Courroie GT2-6 400mm,3,0,1,3,3
,Seed XIAO RP2040,Microcontroller for the steering wheel,Aliexpress,No,https://ar.aliexpress.com/item/1005003682505451.html,"4,78","4,52",1,"4,78","9,3"
,Steering Wheel,The actual steering wheel,Aliexpress,No,https://ar.aliexpress.com/item/1005009791304312.html,"25,99","42,53",1,"25,99","68,52"
,TJA1051,CAN transceiver,Aliexpress,No,https://ar.aliexpress.com/item/1005005569468051.html,"4,1",0,1,"4,1","4,1"
,12V Buck Converter,Used to power the fan,Aliexpress,No,https://ar.aliexpress.com/item/1005008597548688.html,"2,6","7,28",1,"2,6","12,48"
,5V Buck Converter,Used to power the MCU and other peripherals,Aliexpress,No,https://ar.aliexpress.com/item/1005008597548688.html,"2,6",,1,"2,6",
,USB-C Female Connector,Used to connect the wheelbase to the computer,Aliexpress,No,https://ar.aliexpress.com/item/1005009695057393.html,"11,62",0,1,"11,62","11,62"
,USB-C 90Â° cable,Used to transfer the USB connection from the PCB to the external connector,Aliexpress,No,https://ar.aliexpress.com/item/1005002708307702.html,"6,4","4,79",1,"6,4","11,19"
,USB-C Breakout Board,,Aliexpress,No,https://ar.aliexpress.com/item/1005004807492800.html,"4,19",0,1,"4,19","4,19"
,JST-XH 4 Pin Connector,Used to make cable connections easier,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/connecteur-jst-xh2-54-4-broches-male-femelle-avec-cable-de-20-cm?_pos=9&_sid=98b457343&_ss=r,"0,7",0,1,"0,7","0,7"
,JST-XH 3 Pin Connector,Used to make cable connections easier,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/connecteur-jst-xh2-54-3-broches-male-femelle-avec-cable-de-20-cm?_pos=12&_sid=98b457343&_ss=r,"0,62",0,1,"0,62","0,62"
,JST-XH 2 Pin Connector,Used to make cable connections easier,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/connecteur-jst-xh-2-broches-male-femelle-avec-cable-de-20-cm?_pos=7&_sid=98b457343&_ss=r,"0,49",0,1,"0,49","0,49"
,M2X10 Screw,"Screw diameter = 2mm, length = 10mm",Already have,,N/A,0,0,4,0,0
,M3x10 Screw,"Screw diameter = 3mm, length = 10mm",Already have,,N/A,0,0,8,0,0
,M3x16 Screw,"Screw diameter = 3mm, length = 16mm",Already have,,N/A,0,0,10,0,0
,M4x8 Screw,"Screw diameter = 4mm, length = 8mm",Already have,,N/A,0,0,8,0,0
,M4x16 Screw,"Screw diameter = 4mm, length = 16mm",Already have,,N/A,0,0,4,0,0
,M5x16 Screw,"Screw diameter = 5mm, length = 16mm",Already have,,N/A,0,0,6,0,0
,M5x36 Screw,"Screw diameter = 5mm, length = 36mm",Already have,,N/A,0,0,4,0,0
,M5x50 Screw,"Screw diameter = 5mm, length = 50mm",Already have,,N/A,0,0,6,0,0
,M6x20 Screw,"Screw diameter = 6mm, length = 20mm",Already have,,N/A,0,0,4,0,0
,M10x16 Screw,"Screw diameter = 10mm, length = 16mm",Already have,,N/A,0,0,2,0,0
,M3 Nut,Nut diameter = 3mm,Already have,,N/A,0,0,4,0,0
,M10 Nut,Nut diameter = 10mm,Already have,,N/A,0,0,2,0,0
,M3 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 3mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,M4 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 4mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,8,"0,8","0,8"
,M5 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 5mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,M6 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 6mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,Table clamps (x2),Used to mount the wheelbase on the table,Aliexpress,No,https://ar.aliexpress.com/item/1005006458478718.html,"47,8","8,28",1,"47,8","56,08"
,Hoverboard motor,Used to provide force feedback,Facebook Marketplace,Yes,N/A,19,0,1,19,19
,TOTAL,,,,,,,,"450,31","553,27"
PCB,Wheelbase PCB,Holds the various electronic components without the need for wiring,JLC PCB,No,N/A,2,"21,91",1,2,"21,91"
Aluminium machined parts,Front plate,,JLC CNC,No,N/A,"8,72","49,48",1,"8,72","72,77"
,Back plate,,JLC CNC,No,N/A,"10,63",,1,"10,63",
,Paddle (x2),,JLC CNC,No,N/A,"3,94",,1,"3,94",
GRAND TOTAL,,,,,,,,,"475,6","647,95"